userId,similarUsers
370,10358;3811;9570;214;3368;8678;1126;1436;10523;11544
371,1439;4088;6062;6361;200;4517;11718;3694;10430;8367
372,7610;7090;12337;4628;10240;6341;9453;4081;10098;11985
373,5774;1641;1306;7318;6060;2607;6047;4794;11887;11681
374,6720;3016;243;8975;8570;12175;1970;5970;10317;9816
375,7924;6979;10316;1395;7875;12029;1231;11508;260;5961
376,6380;6765;12648;1491;5799;460;10214;5417;4542;1000
377,12628;7234;12807;3292;4229;11397;10951;173;6377;2316
378,1115;5736;1302;11437;10468;632;3043;8518;5129;249
379,9837;10954;845;5808;859;1965;4905;11286;9063;6532
380,6412;6035;11947;12148;6857;1919;12177;11825;2799;3811
381,6450;1594;7956;5759;6689;11687;10422;5626;8023;6763
382,8664;4769;496;6583;619;8452;7282;5764;589;4570
383,1957;11884;7316;4328;4478;923;5193;3592;1578;8023
384,6846;4890;9462;6162;7677;2537;8655;7396;1359;9909
385,5769;834;6466;8935;11328;692;6810;2138;12670;8730
386,1398;2438;3805;3336;5943;11704;2;436;11246;8541
387,2439;6379;12541;1695;6710;545;12852;12206;1282;1235
388,2144;9039;6268;3653;3729;5379;12280;3645;5001;7008
389,5489;8367;5556;9889;6920;4088;5170;9422;5357;5913
390,5929;5268;12239;9711;4325;2773;779;7808;6236;7436
391,4927;8447;5996;2453;2451;2305;11649;12754;7475;12559
392,3962;2437;5276;708;6104;2064;9762;1282;8982;1346
393,6829;10146;12070;5869;2234;4707;5779;8911;9164;9364
394,4439;7154;2854;2152;8796;5914;7514;10891;6964;2449
395,3937;8873;3785;9881;6368;2336;2036;9216;4255;5089
396,1832;7504;7605;4823;10549;5926;6629;10980;7143;9255
397,7034;194;4379;5523;2657;7752;4605;10258;781;10871
398,2531;11561;10491;449;3900;8061;11444;58;8634;6633
399,5559;3959;10777;11048;1515;3941;12167;8139;11319;4547
400,12409;3100;3315;11642;12717;7795;5088;12687;4769;11336
401,8572;3684;4995;578;4322;1712;6993;4248;11786;5727
402,4560;1416;902;6594;4443;8384;9292;10136;883;1465
403,12041;2325;8993;13;6563;6903;5075;8007;9892;3273
404,1109;3237;7982;8546;11453;3639;3293;5651;10080;2234
405,9359;10915;8503;1916;2996;502;3048;6912;4519;4209
406,12576;8421;7686;1701;2782;9090;2153;6656;9218;2460
407,10928;10976;7008;3645;4066;6659;2427;7542;5443;1772
408,550;11379;555;8328;6948;2798;5484;2801;8018;1532
409,12842;7689;3936;6547;8222;4201;1734;9353;892;10003
410,5821;11368;9365;6332;10796;8065;7096;10890;12629;7570
411,6614;7327;1122;8648;1380;140;7226;12640;946;11000
412,9639;7091;556;10144;2958;10120;1342;7514;9354;2481
413,3959;12737;1055;4532;12060;7590;8690;2180;11981;4276
414,10513;11688;1492;8534;11294;2228;8673;6178;3613;150
415,3863;8699;6700;5019;11772;9811;7233;2957;3091;10587
416,8603;7556;10531;988;11218;7873;9764;6436;7305;7768
417,6151;4472;5054;9537;7328;6069;8859;11363;10161;2449
418,11165;2683;10602;9196;5103;2561;3440;8189;71;3106
419,7842;11848;3655;9512;673;2730;7083;8704;6856;9830
420,9716;796;3669;7793;5433;6296;1096;11249;11134;9022
421,4361;5969;11238;11059;10196;11724;6080;1428;451;5960
422,9654;364;2358;6747;10322;6298;2761;9890;1361;3539
423,1318;7970;2412;9462;12703;11501;3229;7067;8944;5076
424,12663;3512;1907;2388;11507;2064;10126;8682;4893;5748
425,8649;5220;749;1816;1529;1391;8741;9440;2609;8840
426,611;9945;12785;7127;5753;8997;4307;6466;11754;10773
427,10162;10538;9193;11042;2981;9738;2923;8911;146;12215
428,3762;5832;8490;9558;8612;11967;3211;10458;11186;6540
429,9780;7455;2654;2940;7548;12252;7156;8747;8354;8443
430,5212;11778;11422;7570;5539;10181;12766;9232;11543;4487
431,3721;12248;4446;12734;11326;11427;1646;8610;6358;9892
432,12536;4961;4222;4553;8759;1035;4722;4210;8847;12721
433,5732;5222;11347;2735;1617;2916;1243;8433;12194;4403
434,12008;6776;4940;8393;1119;6385;12088;818;6333;827
435,10357;3761;7507;11775;1788;343;5006;8086;8168;7229
436,2998;9838;9046;3263;11299;386;5550;2752;8728;10305
437,7025;11619;12129;7716;11078;296;12561;11119;1886;2379
438,10944;2030;841;9657;9165;8294;11560;5023;3229;3942
439,9109;11383;12811;2912;5822;8804;10843;1738;408;3656
440,10166;12468;6047;2716;9630;10082;9092;11533;11674;12003
441,5398;7021;213;11947;10267;4661;8463;5273;4394;7508
442,8950;7481;81;9370;2599;10411;8519;6769;12836;5718
443,2675;9206;5774;11702;737;14;10097;118;8143;9967
444,9659;7422;5552;1640;12152;7676;4876;9340;7314;7462
445,12797;163;6238;9643;6598;6702;3502;10537;935;2052
446,4455;4531;11744;7837;2543;6672;9478;10081;10768;7922
